模型,模型家族,特征数,特征口径,重复轮次,折次,AUC,PR_AUC,Brier分数,准确率,F1,精确率,召回率
随机森林,rf,27,树模型清洗口径,4,5,0.857444243520193,0.962653872240263,0.14183396291893746,0.79,0.8627450980392157,0.8918918918918919,0.8354430379746836
随机森林,rf,27,树模型清洗口径,5,1,0.7369228409265225,0.9264997210354746,0.18262157117329952,0.67,0.7676056338028169,0.872,0.6855345911949685
随机森林,rf,27,树模型清洗口径,5,2,0.8728332566344531,0.967094155811151,0.14023408124272035,0.82,0.8807947019867549,0.9300699300699301,0.8364779874213837
随机森林,rf,27,树模型清洗口径,5,3,0.8912409878815768,0.9731439620728455,0.14032181854465825,0.83,0.8888888888888888,0.9251700680272109,0.8553459119496856
随机森林,rf,27,树模型清洗口径,5,4,0.8080168776371308,0.9482400034734006,0.1660468177882989,0.725,0.8096885813148789,0.8931297709923665,0.740506329113924
随机森林,rf,27,树模型清洗口径,5,5,0.8551838456901749,0.9617434752001276,0.14628082873665302,0.795,0.8664495114006515,0.8926174496644296,0.8417721518987342
梯度提升树,gbdt,27,树模型清洗口径,1,1,0.8887866237152937,0.9719058891733691,0.10855782286867263,0.83,0.8963414634146342,0.8698224852071006,0.9245283018867925
梯度提升树,gbdt,27,树模型清洗口径,1,2,0.8874060438717596,0.9724742629921574,0.1058844914789579,0.825,0.8929663608562691,0.8690476190476191,0.9182389937106918
梯度提升树,gbdt,27,树模型清洗口径,1,3,0.8501303880963338,0.9622563471794516,0.12452511143514527,0.775,0.8606811145510835,0.8475609756097561,0.8742138364779874
梯度提升树,gbdt,27,树模型清洗口径,1,4,0.923297166968053,0.9813132423343415,0.09229049715700188,0.825,0.891640866873065,0.8727272727272727,0.9113924050632911
梯度提升树,gbdt,27,树模型清洗口径,1,5,0.8862266425557564,0.9721404089846554,0.11354659144086905,0.8,0.8809523809523809,0.8314606741573034,0.9367088607594937
梯度提升树,gbdt,27,树模型清洗口径,2,1,0.9205399601165823,0.9808201670430196,0.09872548599020421,0.83,0.9,0.8453038674033149,0.9622641509433962
梯度提升树,gbdt,27,树模型清洗口径,2,2,0.8699186991869918,0.9685940015207253,0.11806709015849413,0.785,0.8676923076923077,0.8493975903614458,0.8867924528301887
梯度提升树,gbdt,27,树模型清洗口径,2,3,0.856112900751649,0.9647590135281052,0.12250152493579136,0.795,0.8746177370030581,0.8511904761904762,0.89937106918239
梯度提升树,gbdt,27,树模型清洗口径,2,4,0.8798975286317059,0.96977498746546,0.11126406659169501,0.805,0.877742946708464,0.8695652173913043,0.8860759493670886
梯度提升树,gbdt,27,树模型清洗口径,2,5,0.8889391199517782,0.9728161750658257,0.10784264739068763,0.815,0.8854489164086687,0.8666666666666667,0.9050632911392406
梯度提升树,gbdt,27,树模型清洗口径,3,1,0.8587206626783249,0.9645178530368453,0.11854077095666705,0.785,0.8668730650154799,0.8536585365853658,0.8805031446540881
梯度提升树,gbdt,27,树模型清洗口径,3,2,0.9148642429820526,0.9802022029163695,0.09663882310633104,0.835,0.8996960486322189,0.8705882352941177,0.9308176100628931
梯度提升树,gbdt,27,树模型清洗口径,3,3,0.9228409265224727,0.9821185193056445,0.09374006735824729,0.84,0.9012345679012346,0.8848484848484849,0.9182389937106918
梯度提升树,gbdt,27,树模型清洗口径,3,4,0.8737191078963231,0.9690388072411089,0.11220397942604095,0.78,0.8641975308641975,0.8433734939759037,0.8860759493670886
梯度提升树,gbdt,27,树模型清洗口径,3,5,0.8854731766124171,0.9719159984647439,0.11212364823668207,0.82,0.8902439024390244,0.8588235294117647,0.9240506329113924
梯度提升树,gbdt,27,树模型清洗口径,4,1,0.8955361251725725,0.9752431995258172,0.10460303976331567,0.805,0.8814589665653495,0.8529411764705882,0.9119496855345912
梯度提升树,gbdt,27,树模型清洗口径,4,2,0.8748274275195582,0.9702645964661397,0.10917930135444724,0.795,0.8746177370030581,0.8511904761904762,0.89937106918239
梯度提升树,gbdt,27,树模型清洗口径,4,3,0.9073477527228102,0.9775301501102747,0.1014638104719378,0.855,0.9107692307692308,0.891566265060241,0.9308176100628931
梯度提升树,gbdt,27,树模型清洗口径,4,4,0.9044605183845691,0.9773899293073114,0.10374182954887398,0.8,0.8795180722891566,0.8390804597701149,0.9240506329113924
梯度提升树,gbdt,27,树模型清洗口径,4,5,0.8889391199517781,0.972911715801506,0.1080245742979438,0.815,0.8868501529051988,0.8579881656804734,0.9177215189873418
梯度提升树,gbdt,27,树模型清洗口径,5,1,0.8507439791379046,0.961777595770832,0.12398031688404865,0.79,0.8711656441717791,0.8502994011976048,0.8930817610062893
梯度提升树,gbdt,27,树模型清洗口径,5,2,0.909495321368308,0.9784181686684625,0.10081021904203548,0.835,0.9014925373134328,0.8579545454545454,0.949685534591195
梯度提升树,gbdt,27,树模型清洗口径,5,3,0.9085749348059519,0.9785593339491643,0.10655231598674149,0.82,0.8941176470588236,0.8397790055248618,0.9559748427672956
梯度提升树,gbdt,27,树模型清洗口径,5,4,0.8783905967450272,0.9690974957896433,0.1138488494247361,0.805,0.8807339449541285,0.8520710059171598,0.9113924050632911
梯度提升树,gbdt,27,树模型清洗口径,5,5,0.9183242917420132,0.9803432318753391,0.0960665223728276,0.835,0.9003021148036254,0.861271676300578,0.9430379746835443
极端随机树,extra_trees,27,树模型清洗口径,1,1,0.8131615278416936,0.9442538528353707,0.200151356633167,0.77,0.847682119205298,0.8951048951048951,0.8050314465408805
极端随机树,extra_trees,27,树模型清洗口径,1,2,0.8292682926829268,0.9559031962627511,0.19314973397108787,0.765,0.8469055374592834,0.8783783783783784,0.8176100628930818
极端随机树,extra_trees,27,树模型清洗口径,1,3,0.8446080687221967,0.9596531036321385,0.19249808966023252,0.79,0.8618421052631579,0.903448275862069,0.8238993710691824
极端随机树,extra_trees,27,树模型清洗口径,1,4,0.8921036769138035,0.9715395751619668,0.1866072001790301,0.825,0.887459807073955,0.9019607843137255,0.8734177215189873
极端随机树,extra_trees,27,树模型清洗口径,1,5,0.7855635925256178,0.9389482282553785,0.1965150321900934,0.755,0.8414239482200647,0.8609271523178808,0.8227848101265823
极端随机树,extra_trees,27,树模型清洗口径,2,1,0.8171498696119038,0.9483835016326841,0.19152391756149814,0.76,0.8441558441558441,0.87248322147651,0.8176100628930818
极端随机树,extra_trees,27,树模型清洗口径,2,2,0.8191440404970088,0.9514198559422578,0.19573964237439526,0.765,0.8498402555910544,0.8636363636363636,0.8364779874213837
极端随机树,extra_trees,27,树模型清洗口径,2,3,0.7738917011811628,0.9268662884834996,0.20028069992029843,0.76,0.8431372549019608,0.8775510204081632,0.8113207547169812
极端随机树,extra_trees,27,树模型清洗口径,2,4,0.8366485834840266,0.9554249447484069,0.19266036382447266,0.765,0.8459016393442623,0.8775510204081632,0.8164556962025317
极端随机树,extra_trees,27,树模型清洗口径,2,5,0.8786919831223629,0.9676103392012338,0.1906006128258197,0.8,0.8675496688741722,0.9097222222222222,0.8291139240506329
极端随机树,extra_trees,27,树模型清洗口径,3,1,0.8130081300813009,0.9382830263393284,0.19981305275258116,0.75,0.8322147651006712,0.8920863309352518,0.779874213836478
极端随机树,extra_trees,27,树模型清洗口径,3,2,0.7998159226875289,0.942925345329166,0.19386885205491083,0.765,0.8507936507936508,0.8589743589743589,0.8427672955974843
极端随机树,extra_trees,27,树模型清洗口径,3,3,0.8691517103850285,0.9659393158664205,0.19376283801340344,0.81,0.875,0.9172413793103448,0.8364779874213837
极端随机树,extra_trees,27,树模型清洗口径,3,4,0.8354430379746836,0.955805434563946,0.19237647277050016,0.77,0.8486842105263158,0.8835616438356164,0.8164556962025317
极端随机树,extra_trees,27,树模型清洗口径,3,5,0.852471368294153,0.9603233147501165,0.19087819972868264,0.795,0.8690095846645367,0.8774193548387097,0.8607594936708861
极端随机树,extra_trees,27,树模型清洗口径,4,1,0.8143887099248351,0.9460953084504756,0.19341419789555123,0.785,0.86084142394822,0.8866666666666667,0.8364779874213837
极端随机树,extra_trees,27,树模型清洗口径,4,2,0.8559595029912564,0.9626891606224061,0.195947813045008,0.785,0.8571428571428571,0.9084507042253521,0.8113207547169812
极端随机树,extra_trees,27,树模型清洗口径,4,3,0.8251265531523241,0.9512944699583206,0.19395788006428208,0.77,0.8506493506493507,0.8791946308724832,0.8238993710691824
极端随机树,extra_trees,27,树模型清洗口径,4,4,0.8450874020494273,0.9584082189391272,0.19024114816108412,0.8,0.8726114649681529,0.8782051282051282,0.8670886075949367
极端随机树,extra_trees,27,树模型清洗口径,4,5,0.8383062085593731,0.9532441051118847,0.19293031566866067,0.78,0.8543046357615894,0.8958333333333334,0.8164556962025317
极端随机树,extra_trees,27,树模型清洗口径,5,1,0.7574781408191441,0.9281266135369723,0.20312746496983258,0.685,0.7892976588628763,0.8428571428571429,0.7421383647798742
极端随机树,extra_trees,27,树模型清洗口径,5,2,0.8656235618959964,0.9663621217698082,0.19007441175630205,0.81,0.8774193548387097,0.9006622516556292,0.8553459119496856
极端随机树,extra_trees,27,树模型清洗口径,5,3,0.8693051081454212,0.9667849849324678,0.18847317701403113,0.82,0.8875,0.8819875776397516,0.8930817610062893
极端随机树,extra_trees,27,树模型清洗口径,5,4,0.8128390596745028,0.9504408800863247,0.20124241518716846,0.785,0.8599348534201955,0.8859060402684564,0.8354430379746836
极端随机树,extra_trees,27,树模型清洗口径,5,5,0.8364978902953587,0.9542815126627056,0.18953681102766107,0.8,0.8717948717948718,0.8831168831168831,0.8607594936708861
直方梯度提升树,hist_gbdt,27,树模型清洗口径,1,1,0.8849516797054763,0.9718214504341691,0.10645521114223758,0.8,0.8780487804878049,0.8520710059171598,0.9056603773584906
直方梯度提升树,hist_gbdt,27,树模型清洗口径,1,2,0.8889400214756866,0.9728553117468782,0.10639162588175796,0.795,0.8690095846645367,0.8831168831168831,0.8553459119496856
直方梯度提升树,hist_gbdt,27,树模型清洗口径,1,3,0.8665439484583526,0.967357922920485,0.11602551450192085,0.795,0.8706624605678234,0.8734177215189873,0.8679245283018868
直方梯度提升树,hist_gbdt,27,树模型清洗口径,1,4,0.9184749849306811,0.9803418720304946,0.08945021202268506,0.835,0.8958990536277602,0.8930817610062893,0.8987341772151899
直方梯度提升树,hist_gbdt,27,树模型清洗口径,1,5,0.8999397227245328,0.9757226162229953,0.1022243736198136,0.8,0.875,0.8641975308641975,0.8860759493670886
直方梯度提升树,hist_gbdt,27,树模型清洗口径,2,1,0.9263690750115049,0.9826192205107797,0.09239667736693656,0.83,0.8988095238095238,0.8531073446327684,0.949685534591195
直方梯度提升树,hist_gbdt,27,树模型清洗口径,2,2,0.8918545789231478,0.9748708151565917,0.10566105103681092,0.82,0.8881987577639752,0.8773006134969326,0.89937106918239
直方梯度提升树,hist_gbdt,27,树模型清洗口径,2,3,0.8923147722043258,0.973658382161565,0.1065213548044599,0.8,0.8726114649681529,0.8838709677419355,0.8616352201257862
直方梯度提升树,hist_gbdt,27,树模型清洗口径,2,4,0.8908981314044606,0.9726552447125127,0.10537677830238139,0.82,0.8895705521472392,0.8630952380952381,0.9177215189873418
直方梯度提升树,hist_gbdt,27,树模型清洗口径,2,5,0.889089813140446,0.9730019466545026,0.10315197827092369,0.805,0.8753993610223643,0.8838709677419355,0.8670886075949367
直方梯度提升树,hist_gbdt,27,树模型清洗口径,3,1,0.8788157692897686,0.9704073418876261,0.11139358350972695,0.795,0.8698412698412699,0.8782051282051282,0.8616352201257862
直方梯度提升树,hist_gbdt,27,树模型清洗口径,3,2,0.9061205706396687,0.9781803137380477,0.09524233005702451,0.805,0.877742946708464,0.875,0.8805031446540881
直方梯度提升树,hist_gbdt,27,树模型清洗口径,3,3,0.9332719742291763,0.984623969732916,0.08359695194208033,0.825,0.8923076923076924,0.8734939759036144,0.9119496855345912
直方梯度提升树,hist_gbdt,27,树模型清洗口径,3,4,0.8628691983122363,0.9667759711467151,0.11229709437113361,0.785,0.8617363344051447,0.8758169934640523,0.8481012658227848
直方梯度提升树,hist_gbdt,27,树模型清洗口径,3,5,0.8883363471971067,0.9729902866250433,0.10508992355404974,0.79,0.8679245283018868,0.8625,0.8734177215189873
直方梯度提升树,hist_gbdt,27,树模型清洗口径,4,1,0.8840312931431202,0.9733175938792985,0.10668446392109888,0.81,0.88125,0.8757763975155279,0.8867924528301887
直方梯度提升树,hist_gbdt,27,树模型清洗口径,4,2,0.8651633686148184,0.9676064431005668,0.11282106783897775,0.77,0.8544303797468354,0.8598726114649682,0.8490566037735849
直方梯度提升树,hist_gbdt,27,树模型清洗口径,4,3,0.8999846602239608,0.9765514517704488,0.09839691560415308,0.83,0.8944099378881988,0.8834355828220859,0.9056603773584906
直方梯度提升树,hist_gbdt,27,树模型清洗口径,4,4,0.8979807112718505,0.9755422769768078,0.09934135475731173,0.8,0.8742138364779874,0.86875,0.879746835443038
直方梯度提升树,hist_gbdt,27,树模型清洗口径,4,5,0.8818565400843882,0.9713365694795959,0.10986310386069643,0.79,0.86875,0.8580246913580247,0.879746835443038
直方梯度提升树,hist_gbdt,27,树模型清洗口径,5,1,0.8688449148642431,0.9676604053592085,0.11415491044914877,0.8,0.8709677419354839,0.8940397350993378,0.8490566037735849
直方梯度提升树,hist_gbdt,27,树模型清洗口径,5,2,0.9280564503758245,0.9830384426479506,0.08758694738487348,0.845,0.9040247678018576,0.8902439024390244,0.9182389937106918
直方梯度提升树,hist_gbdt,27,树模型清洗口径,5,3,0.904893388556527,0.9778929460573035,0.10160291401587164,0.82,0.891566265060241,0.8554913294797688,0.9308176100628931
直方梯度提升树,hist_gbdt,27,树模型清洗口径,5,4,0.9015973477998795,0.975559556229394,0.09977892966063857,0.83,0.8910256410256411,0.9025974025974026,0.879746835443038
直方梯度提升树,hist_gbdt,27,树模型清洗口径,5,5,0.9130500301386378,0.9788204647081471,0.09614584687927859,0.84,0.9006211180124224,0.8841463414634146,0.9177215189873418
